query_id,family,facet,rank,source,source_id,doi,arxiv_id,title,authors,year,cited_by_count,abstract,primary_url,provenance
Q04,backward,lineage,48,root_bibliography,Parrondo2015,10.1038/nphys3230,,Thermodynamics of Information,"Parrondo, Juan M. R. and Horowitz, Jordan M. and Sagawa, Takahiro",2015,0,,,current root bibliography ref 48
Q04,backward,lineage,49,root_bibliography,Parisi:1980ys,,,Perturbation Theory Without Gauge Fixing,"Parisi, G. and Wu, Yong-shi",1981,0,,,current root bibliography ref 49
Q04,backward,lineage,50,root_bibliography,Damgaard:1987rr,10.1016/0370-1573(87)90144-X,,Stochastic Quantization,"Damgaard, Poul H. and Huffel, Helmuth",1987,0,,,current root bibliography ref 50
Q04,backward,lineage,51,root_bibliography,bengio2021gflownet,,,Flow Network based Generative Models for Non‐Iterative Diverse Candidate Generation,"Bengio, Emmanuel and Jain, Moksh and Korablyov, Maksym and Precup, Doina and Bengio, Yoshua",2021,0,,https://papers.nips.cc/paper/2021/hash/e614f646836aaed9f89ce58e837e2310-Abstract.html,current root bibliography ref 51
Q04,backward,lineage,52,root_bibliography,bengio2023gfnfoundations,,,GFlowNet Foundations,Yoshua Bengio and Salem Lahlou and Tristan Deleu and Edward J. Hu and Mo Tiwari and Emmanuel Bengio,2023,0,,https://jmlr.org/papers/volume24/22-0364/22-0364.pdf,current root bibliography ref 52
Q04,backward,lineage,53,root_bibliography,malkin2022trajectory,,,Trajectory balance: Improved credit assignment in GFlowNets,"Malkin, Nikolay and Jain, Moksh and Bengio, Emmanuel and Sun, Chen and Bengio, Yoshua",2022,0,,https://proceedings.neurips.cc/paper\_files/paper/2022/file/27b51baca8377a0cf109f6ecc15a0f70-Paper-Conference.pdf,current root bibliography ref 53
Q04,backward,lineage,54,root_bibliography,Pachter2024,10.1038/s42254-024-00720-5,,"Entropy, irreversibility and inference at the foundations of statistical physics","Pachter, Jonathan Asher and Yang, Ying-Jen and Dill, Ken A.",2024,0,,,current root bibliography ref 54
Q04,backward,lineage,55,root_bibliography,roberts1998optimal,,,Optimal scaling of discrete approximations to Langevin diffusions,"Roberts, Gareth O and Rosenthal, Jeffrey S",1998,0,,,current root bibliography ref 55
Q04,backward,lineage,56,root_bibliography,girolami2011riemann,10.1111/j.1467-9868.2010.00765.x,9868.2010,Riemann manifold Langevin and Hamiltonian Monte Carlo methods,"Girolami, Mark and Calderhead, Ben",2011,0,,https://arxiv.org/abs/9868.2010,current root bibliography ref 56
Q04,backward,lineage,57,root_bibliography,kullback1951information,10.1214/aoms/1177729694,,On Information and Sufficiency,"Kullback, Solomon and Leibler, Richard A.",1951,0,,,current root bibliography ref 57
Q04,backward,lineage,58,root_bibliography,Jarzynski:2013qyb,10.1007/978-3-0348-0359-5_4,,Equalities and Inequalities: Irreversibility and the Second Law of Thermodynamics at the Nanoscale,"Jarzynski, Christopher",2013,0,,,current root bibliography ref 58
Q06,author,author,1,OpenAlex,https://openalex.org/W7135020858,10.1007/jhep03(2026)111,,Physics-conditioned diffusion models for lattice gauge theory,Qianteng Zhu; Gert Aarts; Wei Wang; Kai Zhou; Lingxiao Wang,2026,2,"A bstract We develop diffusion models for simulating lattice gauge theories, where stochastic quantization is explicitly incorporated as a physical condition for sampling. We demonstrate the applicability of this novel sampler to U(1) gauge theory in two spacetime dimensions and find that a model trained at a small inverse coupling constant can be extrapolated to larger inverse coupling regions without encountering the topological freezing problem. Additionally, the trained model can be employed to sample configurations on different lattice sizes without requiring further training. The exactness of the generated samples is ensured by incorporating Metropolis-adjusted Langevin dynamics into the generation process. Furthermore, we demonstrate that this approach enables more efficient sampling of topological quantities compared to traditional algorithms such as Hybrid Monte Carlo and Langevin simulations.",https://doi.org/10.1007/jhep03(2026)111,current OpenAlex response
Q06,author,author,2,OpenAlex,https://openalex.org/W4407384902,10.48550/arxiv.2502.05504,2502.05504,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,Qianteng Zhu; Gert Aarts; Wei Wang; Kai Zhou; Lingxiao Wang,2025,0,"We develop diffusion models for simulating lattice gauge theories, where stochastic quantization is explicitly incorporated as a physical condition for sampling. We demonstrate the applicability of this novel sampler to U(1) gauge theory in two spacetime dimensions and find that a model trained at a small inverse coupling constant can be extrapolated to larger inverse coupling regions without encountering the topological freezing problem. Additionally, the trained model can be employed to sample configurations on different lattice sizes without requiring further training. The exactness of the generated samples is ensured by incorporating Metropolis-adjusted Langevin dynamics into the generation process. Furthermore, we demonstrate that this approach enables more efficient sampling of topological quantities compared to traditional algorithms such as Hybrid Monte Carlo and Langevin simulations.",http://arxiv.org/abs/2502.05504,current OpenAlex response
Q06,author,author,3,OpenAlex,https://openalex.org/W4406794538,10.48550/arxiv.2501.13799,2501.13799,Rudraksh: A compact and lightweight post-quantum key-encapsulation mechanism,Suparna Kundu; Archisman Ghosh; Angshuman Karmakar; Shreyas Sen; Ingrid Verbauwhede,2025,1,"Resource-constrained devices such as wireless sensors and Internet of Things (IoT) devices have become ubiquitous in our digital ecosystem. These devices generate and handle a major part of our digital data. However, due to the impending threat of quantum computers on our existing public-key cryptographic schemes and the limited resources available on IoT devices, it is important to design lightweight post-quantum cryptographic (PQC) schemes suitable for these devices. In this work, we explored the design space of learning with error-based PQC schemes to design a lightweight key-encapsulation mechanism (KEM) suitable for resource-constrained devices. We have done a scrupulous and extensive analysis and evaluation of different design elements, such as polynomial size, field modulus structure, reduction algorithm, and secret and error distribution of an LWE-based KEM. Our explorations led to the proposal of a lightweight PQC-KEM, Rudraksh, without compromising security. Our scheme provides security against chosen ciphertext attacks (CCA) with more than 100 bits of Core-SVP post-quantum security and belongs to the NIST-level-I security category (provide security at least as much as AES-128). We have also shown how ASCON can be used for lightweight pseudo-random number generation and hash function in the lattice-based KEMs instead of the widely used Keccak for lightweight design. Our FPGA results show that Rudraksh currently requires the least area among the PQC KEMs of similar security. Our implementation of Rudraksh provides a $\sim3\times$ improvement in terms of the area requirement compared to the state-of-the-art area-optimized implementation of Kyber, can operate at $63\%$-$76\%$ higher frequency with respect to high-throughput Kyber, and improves time-area-product $\sim2\times$ compared to the state-of-the-art compact implementation of Kyber published in HPEC 2022.",http://arxiv.org/abs/2501.13799,current OpenAlex response
Q06,author,author,4,OpenAlex,https://openalex.org/W2997095629,10.18174/496730,,Electrochemical phosphorus removal and recovery,Yang Lei,2019,4,Chapter 1,https://doi.org/10.18174/496730,current OpenAlex response
Q06,author,author,5,OpenAlex,https://openalex.org/W2623309117,,,Long Range Hybrid Plasmonics,Wen Ma,2013,0,"Long-range hybrid plasmonic modes are described in this thesis. It is achieved in two non-identical hybrid plasmonic waveguides coupled within a common metal layer, which form TE and TM antisymmetric and symmetric supermodes. The structural asymmetry allows the modal properties to be engineered for various plasmonic applications. In addition, the TM symmetric mode in a 200 nm wide waveguide achieves an improved loss-confinement balance with propagation loss less than 0.03 dB/μm and submicron mode size. It has demonstrated broadband operation without modal cutoff at wavelength of 2.5 μm. Furthermore, it shows capabilities in directional coupling, bends, and power splitting components with compact footprint while maintaining low insertion loss superior to a few major types of existing plasmonic waveguides. It has potential to become the platform for various plasmonic devices with improved performance and reduced footprint. Experimental measurements of the first batch of waveguide samples have identified challenges and suggested improvements for fabrication and characterization.",http://hdl.handle.net/1807/69981,current OpenAlex response
Q06,author,author,6,OpenAlex,https://openalex.org/W2519584046,,,"On Ants, Islands and Evolution",Daniela Magdalena Sorger,2015,0,"SORGER, DANIELA MAGDALENA.On Ants, Islands and Evolution.(Under the direction of Dr",http://www.lib.ncsu.edu/resolver/1840.16/10777,current OpenAlex response
Q08,author,author,1,OpenAlex,https://openalex.org/W4388515621,10.48550/arxiv.2311.03578,2311.03578,Generative Diffusion Models for Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023,2,"This study delves into the connection between machine learning and lattice field theory by linking generative diffusion models (DMs) with stochastic quantization, from a stochastic differential equation perspective. We show that DMs can be conceptualized by reversing a stochastic process driven by the Langevin equation, which then produces samples from an initial distribution to approximate the target distribution. In a toy model, we highlight the capability of DMs to learn effective actions. Furthermore, we demonstrate its feasibility to act as a global sampler for generating configurations in the two-dimensional $ϕ^4$ quantum lattice field theory.",http://arxiv.org/abs/2311.03578,current OpenAlex response
Q08,author,author,2,OpenAlex,https://openalex.org/W4406704747,10.22323/1.466.0037,,Diffusion models and stochastic quantisation in lattice field theory,Gert Aarts; Lingxiao Wang; Kai Zhou,2025,2,Diffusion models are currently the leading generative AI approach used for image generation in e.g. DALL-E and Stable Diffusion. In this talk we relate diffusion models to stochastic quantisation in field theory and employ it to generate configurations for scalar fields on a two-dimensional lattice. We end with some speculations on possible applications.,https://doi.org/10.22323/1.466.0037,current OpenAlex response
